,Image ID,class,,
0,images/train/frame0.jpg,0,,
1,images/train/frame1.jpg,0,,
2,images/train/frame10.jpg,0,,
3,images/train/frame100.jpg,2,,
4,images/train/frame1000.jpg,1,,
5,images/train/frame1001.jpg,1,,
6,images/train/frame1002.jpg,1,,
7,images/train/frame1003.jpg,1,,
8,images/train/frame1004.jpg,1,,
9,images/train/frame1005.jpg,1,,
10,images/train/frame1006.jpg,1,,
11,images/train/frame1007.jpg,1,,
12,images/train/frame1008.jpg,1,,
13,images/train/frame1009.jpg,1,,
14,images/train/frame101.jpg,2,,
15,images/train/frame1010.jpg,1,,
16,images/train/frame1011.jpg,1,,
17,images/train/frame1012.jpg,0,,
18,images/train/frame1013.jpg,0,,
19,images/train/frame1014.jpg,0,,
20,images/train/frame1015.jpg,0,,
21,images/train/frame1016.jpg,0,,
22,images/train/frame1017.jpg,0,,
23,images/train/frame1018.jpg,0,,
24,images/train/frame1019.jpg,0,,
25,images/train/frame102.jpg,2,,
26,images/train/frame1020.jpg,0,,
27,images/train/frame1021.jpg,0,,
28,images/train/frame1022.jpg,0,,
29,images/train/frame1023.jpg,0,,
30,images/train/frame1024.jpg,0,,
31,images/train/frame1025.jpg,0,,
32,images/train/frame1026.jpg,0,,
33,images/train/frame1027.jpg,0,,
34,images/train/frame1028.jpg,0,,
35,images/train/frame1029.jpg,0,,
36,images/train/frame103.jpg,2,,
37,images/train/frame1030.jpg,0,,
38,images/train/frame1031.jpg,0,,
39,images/train/frame1032.jpg,0,,
40,images/train/frame1033.jpg,1,,
41,images/train/frame1034.jpg,1,,
42,images/train/frame1035.jpg,1,,
43,images/train/frame1036.jpg,1,,
44,images/train/frame1037.jpg,1,,
45,images/train/frame1038.jpg,1,,
46,images/train/frame1039.jpg,1,,
47,images/train/frame104.jpg,2,,
48,images/train/frame1040.jpg,1,,
49,images/train/frame1041.jpg,1,,
50,images/train/frame1042.jpg,1,,
51,images/train/frame1043.jpg,0,,
52,images/train/frame1044.jpg,0,,
53,images/train/frame1045.jpg,0,,
54,images/train/frame1046.jpg,1,,
55,images/train/frame1047.jpg,3,,
56,images/train/frame1048.jpg,1,,
57,images/train/frame1049.jpg,1,,
58,images/train/frame105.jpg,2,,
59,images/train/frame1050.jpg,3,,
60,images/train/frame1051.jpg,3,,
61,images/train/frame1052.jpg,3,,
62,images/train/frame1053.jpg,3,,
63,images/train/frame1054.jpg,3,,
64,images/train/frame1055.jpg,3,,
